lang;food_id;name_translation
fr;1;Avoine porridge (flocons d'avoine, bouillis)
fr;2;Avoine, flocons (cru)
fr;3;Avoine porridge (son d'avoine, bouilli)
fr;4;Avoine, son (cru)
fr;5;Blé (moyenne, cru?)
fr;6;Blé (cru)
fr;7;Blé complet (cuit au four)
fr;8;Pâtes (bouillies, semoule de blé durum)
fr;9;Blé, pétales (céréales petit déjeuner, moyenne)
fr;10;Blé, son (céréales petit déjeuner, type Kelloggs all bran fibre plus)
fr;11;Blé, soufflé (céréales petit déjeuner, type smacks)
fr;12;Maïs (moyenne, cru?)
fr;13;Maïs (extrudé, cru)
fr;14;Maïs (céréales petit déjeuner type miel pops)
fr;15;Cornflakes (flocons de maïs toastés, Kellogg’s)
fr;16;Seigle (cru, moulu)
fr;17;Riz (moyenne, cru?)
fr;18;Riz (bouilli)
fr;19;Riz blanc (trempé, bouilli)
fr;20;Riz complet (trempé, bouilli)
fr;21;Riz, isolat de protéine
fr;22;Isolat de drêches de brasserie (orge/riz, cru)
fr;23;Canola, graines (colza de printemps, moyenne, cru?)
fr;24;Colza, graines (moyenne, cru?)
fr;25;Orge, sans coque (cru, moulu)
fr;26;Orge (trempé, bouilli)
fr;27;Orge, noodles
fr;28;Sarrasin (trempé, bouilli)
fr;29;Sarrasin (trempé, bouilli)
fr;30;Sarrasin, noodles
fr;31;Millet commun (trempé, bouilli)
fr;32;Millet (trempé, bouilli)
fr;33;Millet, buns cuits à la vapeur
fr;34;Quinoa (cru)
fr;35;Pain (blé)
fr;36;Levure de bière
fr;37;Pistaches (crues)
fr;38;Pistaches (crues)
fr;39;Pistaches (grillées)
fr;40;Noix (crues)
fr;41;Cacahuètes (grillées)
fr;42;Arachides / cacahuètes, farine
fr;43;Graines de courge, concentré de protéine (crues)
fr;44;Graines de courge, isolat de protéine (crues)
fr;45;Amandes (crues)
fr;46;Graines de tournesol (crues)
fr;47;Noix de cajou (crues)
fr;48;Noix du brésil (crues)
fr;49;Noix de pécan (crues)
fr;50;Pignons de pin (crus)
fr;51;Noisettes (crues)
fr;52;Sésame, purée, tahini (non grillé)
fr;53;Fèves (farine, extrudée, cuite au four)
fr;54;Fèves concentrat de protéines (cuit au four)
fr;55;Fèves isolat de protéines (crues)
fr;56;Haricots rouges (bouillis)
fr;57;Adzuki - haricots rouges (trempés, bouillis)
fr;58;Haricots blancs (bouillis)
fr;59;Pois, isolat de protéine (poudre, crue)
fr;60;Pois, concentrat de protéine (poudre, crue)
fr;61;Petits pois (trempés, cuits)
fr;62;Pois chiches (bouillis)
fr;63;Pois cassés verts, farine (cuite au four)
fr;64;Pois cassés jaunes, farine (cuite au four)
fr;65;Pois cassés verts (bouillis)
fr;66;Pois cassés jaunes (bouillis)
fr;67;Lentilles vertes (bouillies)
fr;68;Lentilles corail (bouillies)
fr;69;Pois chiches (trempés, bouillis)
fr;70;Soja (trempé, bouilli)
fr;71;Soja, lait
fr;72;Tofu (soja)
fr;73;Soja, isolat de protéine (cru)
fr;74;Oeufs (bouillis)
fr;75;Poulet (cuit)
fr;76;Bacon, porc (fumé et cuit)
fr;77;Jambon de porc (fumé)
fr;78;Bœuf, steak haché (cru)
fr;79;Bœuf, steak haché (cuit)
fr;80;Mouche soldat noir, larve, mat. grasse >20%, lyophil.
fr;81;Ver de farine, larve, lyophil.
fr;82;Whey (crue, average)
